A1,A2,A3,A4,target
0.154,0.838,0.10,0.22,A
0.540,0.747,0.32,0.26,A
0.721,0.698,0.92,0.06,A
0.476,0.338,0.37,0.51,A
0.220,0.459,0.65,0.90,A
0.639,0.818,0.86,0.55,A
0.428,0.501,0.06,0.15,A
0.279,0.416,0.02,0.07,A
0.498,0.007,0.05,0.95,A
0.730,0.352,0.98,0.26,A
0.316,0.568,0.88,0.03,A
0.784,0.588,0.72,0.98,A
0.643,0.607,0.24,0.87,A
0.544,0.847,0.58,0.99,A
0.076,0.637,0.59,0.37,A
0.916,0.091,0.28,0.97,A
0.432,0.821,0.31,0.65,A
0.741,0.034,0.72,0.52,A
0.976,0.988,0.31,0.57,A
0.567,0.277,0.66,0.92,A
0.800,0.490,0.68,0.43,A
0.945,0.388,0.96,0.21,A
0.700,0.252,0.63,0.45,A
0.531,0.232,0.13,0.60,A
0.368,0.358,0.16,0.53,A
0.362,0.234,0.66,0.45,A
0.957,0.531,0.56,0.52,A
0.150,0.704,1.00,0.59,A
0.760,0.448,0.85,0.00,A
0.936,0.004,0.02,0.18,A
0.038,0.104,0.88,0.13,A
0.534,0.893,0.62,0.36,A
0.481,0.788,0.95,0.51,A
0.008,0.734,0.60,0.04,A
0.175,0.176,0.69,0.83,A
0.877,0.999,0.48,0.11,A
0.026,0.327,0.84,0.58,A
0.679,0.944,0.46,0.90,A
0.714,0.644,0.05,0.35,A
0.605,0.693,0.29,0.41,A
0.526,0.961,0.66,0.43,A
0.639,0.878,0.92,0.14,A
0.697,0.511,0.49,0.46,A
0.205,0.865,0.70,0.52,A
0.571,0.314,0.85,0.04,A
0.201,0.447,0.21,0.96,A
0.953,0.974,0.13,0.61,A
0.001,0.274,0.54,0.97,A
0.397,0.734,0.41,0.54,A
0.242,0.503,0.23,0.18,A
0.666,0.875,0.53,0.45,B
0.624,0.889,0.79,0.38,B
0.889,0.942,0.15,0.49,B
0.635,0.947,0.06,0.53,B
0.541,0.141,0.66,0.72,B
0.220,0.090,0.19,0.83,B
0.013,0.132,0.79,0.13,B
0.899,0.218,0.06,0.93,B
0.902,0.804,0.33,0.16,B
0.149,0.645,0.52,0.25,B
0.301,0.220,0.14,0.76,B
0.846,0.911,0.01,0.35,B
0.059,0.885,0.43,0.24,B
0.372,0.547,0.30,0.95,B
0.406,0.068,0.59,0.84,B
0.858,0.024,0.86,0.15,B
0.929,0.401,0.86,0.45,B
0.243,0.495,0.41,0.13,B
0.375,0.724,1.00,0.04,B
0.967,0.842,0.14,0.93,B
0.176,0.667,0.20,0.14,B
0.949,0.700,0.29,0.07,B
0.937,0.409,0.26,0.50,B
0.549,0.129,0.18,0.43,B
0.585,0.049,0.62,0.94,B
0.047,0.199,0.09,0.38,B
0.508,0.320,0.33,0.53,B
0.830,0.677,0.13,0.35,B
0.946,0.964,0.25,0.62,B
0.501,0.647,0.69,0.73,B
0.854,0.036,0.80,0.85,B
0.348,0.688,0.45,0.09,B
0.682,0.505,0.10,0.83,B
0.637,0.002,0.15,0.37,B
0.524,0.376,0.29,0.07,B
0.966,0.818,0.17,0.83,B
0.990,0.457,0.39,0.21,B
0.849,0.946,0.31,0.04,B
0.112,0.131,0.83,0.32,B
0.646,0.442,0.42,0.89,B
0.720,0.574,0.50,0.71,B
0.740,0.523,0.34,0.19,B
0.010,0.750,0.58,0.59,B
0.658,0.521,0.52,0.20,B
0.012,0.614,0.39,0.27,B
0.264,0.565,0.94,0.60,B
0.522,0.382,0.33,0.09,B
0.030,0.377,0.21,0.94,B
0.071,0.909,0.82,0.13,B
0.972,0.493,0.50,0.24,B
